source,relation,destination
cx,SPENDS,5.1-8.0
cx,SPENDS,0-1200
cx,SPENDS,5.1-13.5
cx,SPENDS,0-110
cx,SPENDS,5.1-110
crossfit,SPENDS,5.1-8.0
crossfit,SPENDS,0-1200
crossfit,SPENDS,5.1-13.5
crossfit,SPENDS,0-110
crossfit,SPENDS,5.1-110
aerobics,SPENDS,5.1-8.0
aerobics,SPENDS,0-1200
aerobics,SPENDS,5.1-13.5
aerobics,SPENDS,0-110
aerobics,SPENDS,5.1-110
pedalling,SPENDS,5.1-8.0
pedalling,SPENDS,0-1200
pedalling,SPENDS,5.1-13.5
pedalling,SPENDS,0-110
pedalling,SPENDS,5.1-110
water aerobics,SPENDS,5.1-8.0
water aerobics,SPENDS,0-1200
water aerobics,SPENDS,5.1-13.5
water aerobics,SPENDS,0-110
water aerobics,SPENDS,5.1-110
ballet,SPENDS,5.1-8.0
ballet,SPENDS,0-1200
ballet,SPENDS,5.1-13.5
ballet,SPENDS,0-110
ballet,SPENDS,5.1-110
vtt,SPENDS,5.1-8.0
vtt,SPENDS,0-1200
vtt,SPENDS,5.1-13.5
vtt,SPENDS,0-110
vtt,SPENDS,5.1-110
trx,SPENDS,5.1-8.0
trx,SPENDS,0-1200
trx,SPENDS,5.1-13.5
trx,SPENDS,0-110
trx,SPENDS,5.1-110
curves,SPENDS,5.1-8.0
curves,SPENDS,0-1200
curves,SPENDS,5.1-13.5
curves,SPENDS,0-110
curves,SPENDS,5.1-110
p90x,SPENDS,5.1-8.0
p90x,SPENDS,0-1200
p90x,SPENDS,5.1-13.5
p90x,SPENDS,0-110
p90x,SPENDS,5.1-110
body balance,SPENDS,5.1-8.0
body balance,SPENDS,0-1200
body balance,SPENDS,5.1-13.5
body balance,SPENDS,0-110
body balance,SPENDS,5.1-110
body combat,SPENDS,5.1-8.0
body combat,SPENDS,0-1200
body combat,SPENDS,5.1-13.5
body combat,SPENDS,0-110
body combat,SPENDS,5.1-110
body pump,SPENDS,5.1-8.0
body pump,SPENDS,0-1200
body pump,SPENDS,5.1-13.5
body pump,SPENDS,0-110
body pump,SPENDS,5.1-110
rpm,SPENDS,5.1-8.0
rpm,SPENDS,0-1200
rpm,SPENDS,5.1-13.5
rpm,SPENDS,0-110
rpm,SPENDS,5.1-110
taekwondo,SPENDS,5.1-8.0
taekwondo,SPENDS,0-1200
taekwondo,SPENDS,5.1-13.5
taekwondo,SPENDS,0-110
taekwondo,SPENDS,5.1-110
cardio,SPENDS,5.1-8.0
cardio,SPENDS,0-1200
cardio,SPENDS,5.1-13.5
cardio,SPENDS,0-110
cardio,SPENDS,5.1-110
cross training,SPENDS,5.1-8.0
cross training,SPENDS,0-1200
cross training,SPENDS,5.1-13.5
cross training,SPENDS,0-110
cross training,SPENDS,5.1-110
body attack,SPENDS,5.1-8.0
body attack,SPENDS,0-1200
body attack,SPENDS,5.1-13.5
body attack,SPENDS,0-110
body attack,SPENDS,5.1-110
kickboxing,SPENDS,5.1-8.0
kickboxing,SPENDS,0-1200
kickboxing,SPENDS,5.1-13.5
kickboxing,SPENDS,0-110
kickboxing,SPENDS,5.1-110
rowing,SPENDS,5.1-8.0
rowing,SPENDS,0-1200
rowing,SPENDS,5.1-13.5
rowing,SPENDS,0-110
rowing,SPENDS,5.1-110
running (jogging) - 5/mph,SPENDS,5.1-8.0
running (jogging) - 5/mph,SPENDS,0-1200
running (jogging) - 5/mph,SPENDS,5.1-13.5
