source,relation,destination
pole dancing,BURNS,101-1200
pole dancing,BURNS,401-500
pole dancing,BURNS,101-900
pole dancing,BURNS,101-500
exercise machine (slow),BURNS,401-450
exercise machine (slow),BURNS,301-500
exercise machine (slow),BURNS,101-1200
exercise machine (slow),BURNS,401-500
exercise machine (slow),BURNS,101-900
exercise machine (slow),BURNS,101-500
netball,BURNS,401-450
netball,BURNS,301-500
netball,BURNS,101-1200
netball,BURNS,401-500
netball,BURNS,101-900
netball,BURNS,101-500
floorball,BURNS,401-450
floorball,BURNS,301-500
floorball,BURNS,101-1200
floorball,BURNS,401-500
floorball,BURNS,101-900
floorball,BURNS,101-500
trampolining,BURNS,401-450
trampolining,BURNS,301-500
trampolining,BURNS,101-1200
trampolining,BURNS,401-500
trampolining,BURNS,101-900
trampolining,BURNS,101-500
gym,BURNS,401-450
gym,BURNS,301-500
gym,BURNS,101-1200
gym,BURNS,401-500
gym,BURNS,101-900
gym,BURNS,101-500
zumba,BURNS,501-900
zumba,BURNS,501-600
zumba,BURNS,101-1200
zumba,BURNS,501-700
zumba,BURNS,501-550
zumba,BURNS,101-900
t25,BURNS,501-900
t25,BURNS,501-600
t25,BURNS,101-1200
t25,BURNS,501-700
t25,BURNS,501-550
t25,BURNS,101-900
swimming (moderate),BURNS,501-900
swimming (moderate),BURNS,501-600
swimming (moderate),BURNS,101-1200
swimming (moderate),BURNS,501-700
swimming (moderate),BURNS,501-550
swimming (moderate),BURNS,101-900
stairs (climbing stairs),BURNS,501-900
stairs (climbing stairs),BURNS,501-600
stairs (climbing stairs),BURNS,101-1200
stairs (climbing stairs),BURNS,501-700
stairs (climbing stairs),BURNS,501-550
stairs (climbing stairs),BURNS,101-900
power jump,BURNS,501-900
power jump,BURNS,501-600
power jump,BURNS,101-1200
power jump,BURNS,501-700
power jump,BURNS,501-550
power jump,BURNS,101-900
fitness training (workout),BURNS,501-900
fitness training (workout),BURNS,501-600
fitness training (workout),BURNS,101-1200
fitness training (workout),BURNS,501-700
fitness training (workout),BURNS,501-550
fitness training (workout),BURNS,101-900
muay thai,BURNS,501-900
muay thai,BURNS,501-600
muay thai,BURNS,101-1200
muay thai,BURNS,501-700
muay thai,BURNS,501-550
muay thai,BURNS,101-900
grit,BURNS,501-900
grit,BURNS,501-600
grit,BURNS,101-1200
grit,BURNS,501-700
grit,BURNS,501-550
grit,BURNS,101-900
xco,BURNS,501-900
xco,BURNS,501-600
xco,BURNS,101-1200
xco,BURNS,501-700
xco,BURNS,501-550
xco,BURNS,101-900
high intensity interval training (hiit),BURNS,501-900
high intensity interval training (hiit),BURNS,501-600
high intensity interval training (hiit),BURNS,101-1200
high intensity interval training (hiit),BURNS,501-700
high intensity interval training (hiit),BURNS,501-550
high intensity interval training (hiit),BURNS,101-900
martial arts,BURNS,501-900
martial arts,BURNS,501-600
martial arts,BURNS,101-1200
martial arts,BURNS,501-700
martial arts,BURNS,501-550
martial arts,BURNS,101-900
insanity,BURNS,501-900
insanity,BURNS,501-600
insanity,BURNS,101-1200
insanity,BURNS,501-700
insanity,BURNS,501-550
insanity,BURNS,101-900
jiu jitsu,BURNS,501-900
jiu jitsu,BURNS,501-600
jiu jitsu,BURNS,101-1200
jiu jitsu,BURNS,501-700
jiu jitsu,BURNS,501-550
jiu jitsu,BURNS,101-900
judo,BURNS,501-900
