muscleNstrength,exRx,confidence
cable lateral raise,lateral raise_one arm,0.8666666666666667
lying single arm trap raise,lying rear lateral raise_one arm,0.8733333333333334
one arm cable reverse fly,reverse fly_one arm,0.9022222222222223
lying rear delt barbell raise,lying rear lateral raise,0.862063492063492
lying rear delt barbell raise,lying rear lateral raise_one arm,0.862063492063492
lying rear delt barbell raise,lying rear lateral raise,0.862063492063492
lying rear delt barbell raise,lying rear lateral raise,0.862063492063492
banded upright row,upright row_wide grip,0.8703703703703703
banded upright row,barbell machine upright row,0.8809523809523809
banded upright row,upright row_wide grip,0.8703703703703703
banded upright row,upright row_wide grip,0.8703703703703703
banded upright row,upright row_cable bar,0.8888888888888888
banded upright row,upright row_seated,0.8518518518518517
landmine lateral raise,on lateral raise machine_on extended arm kneeling lateral raise machine,0.8722222222222222
landmine lateral raise,incline lateral raise,0.9043650793650794
landmine lateral raise,lateral raise_other machine,0.8690476190476191
landmine lateral raise,lateral raise_kneeling,0.8722222222222222
landmine lateral raise,on lateral raise machine,0.8690476190476191
seated alternate dumbbell lateral raise,lateral raise_seated,0.8678571428571429
seated alternate dumbbell lateral raise,seated rear lateral raise,0.8678571428571429
seated alternate dumbbell lateral raise,lateral raise_seated,0.8678571428571429
seated alternate dumbbell lateral raise,seated rear lateral raise,0.8678571428571429
seated alternate dumbbell lateral raise,lateral raise_seated,0.8678571428571429
seated alternate dumbbell lateral raise,rear lateral raise_seated,0.8678571428571429
reverse flys on rings,reverse fly_one arm,0.8536706349206349
reverse flys on rings,seated reverse fly_on pec deck,0.8770833333333333
one arm lying dumbbell reverse fly,reverse fly_one arm,0.8624999999999998
seated dumbbell lateral raise,lateral raise_seated,0.8883928571428571
seated dumbbell lateral raise,seated rear lateral raise,0.8883928571428571
seated dumbbell lateral raise,lateral raise_seated,0.8883928571428571
seated dumbbell lateral raise,seated rear lateral raise,0.8883928571428571
seated dumbbell lateral raise,lateral raise_seated,0.8883928571428571
seated dumbbell lateral raise,rear lateral raise_seated,0.8883928571428571
dumbbell upright row,upright row_wide grip,0.8611111111111112
dumbbell upright row,barbell machine upright row,0.9265873015873015
dumbbell upright row,upright row_wide grip,0.8611111111111112
dumbbell upright row,upright row_wide grip,0.8611111111111112
dumbbell upright row,upright row_dual pulley,0.8611111111111112
banded lateral raise,lying lateral raise,0.8592592592592593
banded lateral raise,lateral raise_seated,0.8592592592592593
banded lateral raise,seated rear lateral raise,0.8592592592592593
banded lateral raise,lateral raise_seated,0.8592592592592593
banded lateral raise,lying rear lateral raise,0.8592592592592593
banded lateral raise,lateral raise,0.8592592592592593
banded lateral raise,seated rear lateral raise,0.8592592592592593
banded lateral raise,rear lateral raise,0.8592592592592593
banded lateral raise,on lateral raise machine_on extended arm kneeling lateral raise machine,0.8809523809523809
banded lateral raise,lying rear lateral raise_one arm,0.8592592592592593
banded lateral raise,lying rear lateral raise,0.8592592592592593
banded lateral raise,lateral raise_seated,0.8592592592592593
banded lateral raise,rear lateral raise,0.8592592592592593
banded lateral raise,incline lateral raise,0.8592592592592593
banded lateral raise,lateral raise,0.8592592592592593
banded lateral raise,lying rear lateral raise,0.8592592592592593
banded lateral raise,lateral raise_other machine,0.8809523809523809
banded lateral raise,rear lateral raise_seated,0.8592592592592593
banded lateral raise,lateral raise_kneeling,0.8592592592592593
banded lateral raise,lateral raise_with close pulleys,0.8592592592592593
banded lateral raise,lateral raise_extended arm,0.8796296296296297
banded lateral raise,lateral raise_one arm,0.8592592592592593
banded lateral raise,lateral raise,0.8592592592592593
banded lateral raise,on lateral raise machine,0.8809523809523809
banded lateral raise,rear lateral raise_one arm,0.8592592592592593
banded lateral raise,lateral raise,0.8592592592592593
banded lateral raise,lateral raise_one arm,0.8592592592592593
machine lateral raise,lying lateral raise,0.892063492063492
machine lateral raise,lateral raise_seated,0.892063492063492
machine lateral raise,seated rear lateral raise,0.892063492063492
machine lateral raise,lateral raise_seated,0.892063492063492
machine lateral raise,lying rear lateral raise,0.892063492063492
machine lateral raise,lateral raise,0.892063492063492
machine lateral raise,seated rear lateral raise,0.892063492063492
machine lateral raise,rear lateral raise,0.892063492063492
machine lateral raise,on lateral raise machine_on extended arm kneeling lateral raise machine,1.0
machine lateral raise,lying rear lateral raise_one arm,0.892063492063492
machine lateral raise,lying rear lateral raise,0.892063492063492
machine lateral raise,lateral raise_seated,0.892063492063492
machine lateral raise,rear lateral raise,0.892063492063492
machine lateral raise,incline lateral raise,0.9047619047619048
machine lateral raise,lateral raise,0.892063492063492
machine lateral raise,lying rear lateral raise,0.892063492063492
machine lateral raise,lateral raise_other machine,1.0
machine lateral raise,rear lateral raise_seated,0.892063492063492
machine lateral raise,lateral raise_kneeling,0.892063492063492
machine lateral raise,lateral raise_with close pulleys,0.892063492063492
machine lateral raise,lateral raise_extended arm,0.892063492063492
machine lateral raise,lateral raise_one arm,0.892063492063492
machine lateral raise,lateral raise,0.892063492063492
machine lateral raise,on lateral raise machine,1.0
machine lateral raise,rear lateral raise_one arm,0.892063492063492
machine lateral raise,lateral raise,0.892063492063492
machine lateral raise,lateral raise_one arm,0.892063492063492
one arm dumbbell lateral raise,on lateral raise machine_on extended arm kneeling lateral raise machine,0.8929365079365079
one arm dumbbell lateral raise,lying rear lateral raise_one arm,0.9107142857142858
one arm dumbbell lateral raise,lateral raise_one arm,0.9107142857142858
one arm dumbbell lateral raise,rear lateral raise_one arm,0.9107142857142858
one arm dumbbell lateral raise,lateral raise_one arm,0.9107142857142858
lateral raise partials,lying lateral raise,0.9043650793650794
lateral raise partials,lateral raise_seated,0.9043650793650794
lateral raise partials,seated rear lateral raise,0.9043650793650794
lateral raise partials,lateral raise_seated,0.9043650793650794
lateral raise partials,lying rear lateral raise,0.9043650793650794
lateral raise partials,lateral raise,0.9043650793650794
lateral raise partials,seated rear lateral raise,0.9043650793650794
lateral raise partials,rear lateral raise,0.9043650793650794
lateral raise partials,on lateral raise machine_on extended arm kneeling lateral raise machine,0.9043650793650794
lateral raise partials,lying rear lateral raise_one arm,0.9043650793650794
lateral raise partials,lying rear lateral raise,0.9043650793650794
lateral raise partials,lateral raise_seated,0.9043650793650794
lateral raise partials,rear lateral raise,0.9043650793650794
lateral raise partials,incline lateral raise,0.9043650793650794
lateral raise partials,lateral raise,0.9043650793650794
lateral raise partials,lying rear lateral raise,0.9043650793650794
lateral raise partials,lateral raise_other machine,0.9043650793650794
lateral raise partials,rear lateral raise_seated,0.9043650793650794
lateral raise partials,lateral raise_kneeling,0.9043650793650794
lateral raise partials,lateral raise_with close pulleys,0.9043650793650794
lateral raise partials,lateral raise_extended arm,0.9043650793650794
lateral raise partials,lateral raise_one arm,0.9043650793650794
lateral raise partials,lateral raise,0.9043650793650794
lateral raise partials,on lateral raise machine,0.9043650793650794
lateral raise partials,rear lateral raise_one arm,0.9043650793650794
lateral raise partials,lateral raise,0.9043650793650794
lateral raise partials,lateral raise_one arm,0.9043650793650794
side lying rear delt fly,lying rear delt row,0.8711111111111111
side lying rear delt fly,lying rear delt row_incline,0.8711111111111111
side lying rear delt fly,lying rear delt row,0.8711111111111111
seated one arm dumbbell lateral raise,on lateral raise machine_on extended arm kneeling lateral raise machine,0.8644841269841269
seated one arm dumbbell lateral raise,lying rear lateral raise_one arm,0.8607804232804233
seated one arm dumbbell lateral raise,lateral raise_one arm,0.8552248677248677
seated one arm dumbbell lateral raise,rear lateral raise_one arm,0.8607804232804233
seated one arm dumbbell lateral raise,lateral raise_one arm,0.8552248677248677
spider curl,supine curl,0.8999999999999999
prone incline hammer curl,prone incline curl,0.8638888888888889
prone incline hammer curl,prone incline curl,0.8638888888888889
prone incline hammer curl,prone incline curl,0.8638888888888889
cable preacher curl,preacher curl_on incline bench,0.892063492063492
cable preacher curl,preacher curl_standing,0.8777777777777778
cable preacher curl,preacher curl_arms high,0.8777777777777778
cable preacher curl,preacher curl_one arm,0.8777777777777778
cable preacher curl,preacher curl_alternating,0.8777777777777778
cable preacher curl,preacher curl_arms high,0.8777777777777778
cable preacher curl,preacher curl,0.8777777777777778
cable preacher curl,preacher curl_standing,0.8777777777777778
cable preacher curl,preacher curl_alternating,0.8777777777777778
cable preacher curl,preacher curl,0.8777777777777778
cable preacher curl,preacher curl_alternating,0.8777777777777778
cable preacher curl,preacher curl_stirrups,0.8777777777777778
cable preacher curl,preacher curl_standing,0.8777777777777778
cable preacher curl,preacher curl,0.8777777777777778
cable preacher curl,preacher curl_standing,0.8777777777777778
cable preacher curl,preacher curl,0.8777777777777778
cable preacher curl,preacher curl,0.8777777777777778
cable preacher curl,preacher curl_standing,0.8777777777777778
cable preacher curl,preacher curl_one arm,0.8777777777777778
barbell preacher curl,preacher curl_on incline bench,0.8650793650793651
barbell preacher curl,preacher curl_standing,0.8650793650793651
barbell preacher curl,preacher curl_arms high,0.8650793650793651
barbell preacher curl,preacher curl_one arm,0.8835978835978836
barbell preacher curl,preacher curl_alternating,0.8650793650793651
barbell preacher curl,preacher curl_arms high,0.8650793650793651
barbell preacher curl,preacher curl,0.8650793650793651
barbell preacher curl,preacher curl_standing,0.8650793650793651
barbell preacher curl,preacher curl_alternating,0.8650793650793651
barbell preacher curl,preacher curl,0.8650793650793651
barbell preacher curl,preacher curl_alternating,0.8650793650793651
barbell preacher curl,preacher curl_stirrups,0.8650793650793651
barbell preacher curl,preacher curl_standing,0.8650793650793651
barbell preacher curl,preacher curl,0.8650793650793651
barbell preacher curl,preacher curl_standing,0.8650793650793651
barbell preacher curl,preacher curl,0.8650793650793651
barbell preacher curl,preacher curl,0.8650793650793651
barbell preacher curl,preacher curl_standing,0.8650793650793651
barbell preacher curl,preacher curl_one arm,0.8835978835978836
barbell drag curl,drag curl,0.8650793650793651
cable concentration curl,concentration curl,0.8777777777777778
cable concentration curl,concentration curl,0.8777777777777778
seated hammer curl,alternating curl_seated,0.8636363636363636
standing barbell curl,preacher curl_standing,0.8650793650793651
standing barbell curl,preacher curl_standing,0.8650793650793651
standing barbell curl,preacher curl_standing,0.8650793650793651
standing barbell curl,preacher curl_standing,0.8650793650793651
standing barbell curl,preacher curl_standing,0.8650793650793651
prone incline dumbbell curl,prone incline curl,0.8645833333333334
prone incline dumbbell curl,prone incline curl,0.8645833333333334
prone incline dumbbell curl,prone incline curl,0.8645833333333334
hammer bar preacher curl,preacher curl_one arm,0.861111111111111
hammer bar preacher curl,preacher curl_one arm,0.861111111111111
concentration curl,preacher curl_on incline bench,0.858974358974359
concentration curl,concentration curl,1.0
concentration curl,concentration curl,1.0
one arm dumbbell preacher curl,preacher curl_one arm,0.8972222222222221
one arm dumbbell preacher curl,preacher curl_one arm,0.8972222222222221
seated cable curl,alternating curl_seated,0.8777777777777778
seated cable curl,curl_seated,0.8777777777777778
seated cable curl,curl_seated,0.8777777777777778
seated cable curl,curl_cable bar,0.8592592592592593
incline bench hammer curl,preacher curl_on incline bench,0.8784722222222222
alternate seated hammer curl,alternating curl_seated,0.8785353535353535
incline bench dumbbell curl,preacher curl_on incline bench,0.8645833333333334
lying barbell curl on incline bench,preacher curl_on incline bench,0.8595238095238096
one arm dumbbell hammer preacher curl,preacher curl_one arm,0.8587962962962962
one arm dumbbell hammer preacher curl,preacher curl_one arm,0.8587962962962962
one arm seated hammer curl,preacher curl_one arm,0.8583333333333332
one arm seated hammer curl,preacher curl_one arm,0.8583333333333332
cable curl,curl_cable bar,1.0
inline bench french press,close grip bench press_incline,0.9460317460317461
inline bench french press,close grip bench press_incline,0.9460317460317461
inline bench french press,close grip bench press,0.8500000000000001
inline bench french press,close grip bench press,0.8500000000000001
inline bench french press,seated close grip press_incline bench,0.9460317460317461
inline bench french press,close grip bench press,0.8500000000000001
inline bench french press,close grip bench press_barbell machine,0.8662698412698413
close grip chest press,close grip bench press_incline,0.9055555555555556
close grip chest press,close grip bench press_incline,0.9055555555555556
close grip chest press,close grip bench press,0.9055555555555556
close grip chest press,seated close grip press,0.9055555555555556
close grip chest press,close grip bench press,0.9055555555555556
close grip chest press,seated close grip press_incline bench,0.9055555555555556
close grip chest press,close grip bench press,0.9055555555555556
close grip chest press,close grip bench press_barbell machine,0.9055555555555556
bench dip,close grip bench press_incline,0.8611111111111112
bench dip,close grip bench press_incline,0.8611111111111112
bench dip,bench dip,1.0
bench dip,bench dip_knees bent,1.0
bench dip,close grip bench press,0.8611111111111112
bench dip,triceps dip_bent knees,0.9241666666666667
bench dip,close grip bench press,0.8611111111111112
bench dip,seated close grip press_incline bench,0.8611111111111112
bench dip,close grip bench press,0.8611111111111112
bench dip,bench dip_heel on floor,1.0
bench dip,close grip bench press_barbell machine,0.8611111111111112
bench dip,triceps dip_between benches,0.9714285714285714
bench dip,bench dip,1.0
weighted tricep dips,triceps dip_self-assisted,0.859920634920635
one-arm seated overhead tricep extension,bent-over triceps extension_cable bar,0.8586167800453515
close grip ez bar press,close grip bench press_barbell machine,0.8866666666666667
smith machine close grip bench press,close grip bench press_incline,0.8662698412698413
smith machine close grip bench press,close grip bench press_incline,0.8662698412698413
smith machine close grip bench press,seated close grip press_incline bench,0.882010582010582
smith machine close grip bench press,close grip bench press_barbell machine,0.9275132275132275
smith machine reverse close grip bench press,seated close grip press_incline bench,0.8526077097505669
smith machine reverse close grip bench press,close grip bench press_barbell machine,0.8916099773242631
decline close grip bench press,close grip bench press_incline,0.9619047619047618
decline close grip bench press,close grip bench press_incline,0.9619047619047618
decline close grip bench press,close grip bench press,0.9352380952380953
decline close grip bench press,close grip bench press,0.9352380952380953
decline close grip bench press,seated close grip press_incline bench,0.9619047619047618
decline close grip bench press,close grip bench press,0.9352380952380953
decline close grip bench press,close grip bench press_barbell machine,0.9428571428571428
rope tricep extension,overhead triceps extension,0.8555555555555556
rope tricep extension,one arm triceps extension_on bench,0.897883597883598
rope tricep extension,forward triceps extension,0.8555555555555556
rope tricep extension,bent-over triceps extension_with rope attachment,0.9904761904761905
rope tricep extension,lying triceps extension_incline,0.8555555555555556
rope tricep extension,lying triceps extension,0.8555555555555556
rope tricep extension,triceps extension,0.8555555555555556
rope tricep extension,incline triceps extension,0.8555555555555556
rope tricep extension,lying triceps extension_decline,0.8555555555555556
rope tricep extension,lying triceps extension,0.8555555555555556
rope tricep extension,triceps extension_alternating,0.8555555555555556
rope tricep extension,triceps extension,0.8555555555555556
rope tricep extension,triceps extension_one arm (supinated),0.897883597883598
rope tricep extension,one arm triceps extension,0.897883597883598
rope tricep extension,triceps extension_one arm (pronated),0.897883597883598
rope tricep extension,kneeling triceps extension,0.8555555555555556
rope tricep extension,one arm triceps extension_reclined,0.897883597883598
rope tricep extension,lying triceps extension_cable bar,0.8555555555555556
rope tricep extension,lying triceps extension_skull crusher,0.8555555555555556
rope tricep extension,bent-over triceps extension_cable bar,0.8793650793650793
rope tricep extension,triceps extension_no seat,0.8555555555555556
rope tricep extension,triceps extension,0.8555555555555556
rope tricep extension,side triceps extension,0.8555555555555556
rope tricep extension,triceps extension_with rope,0.9904761904761905
rope tricep extension,lying triceps extension_incline triceps extension,0.8555555555555556
rope tricep extension,triceps extension_on other machine,0.8682539682539683
rope tricep extension,triceps extension,0.8555555555555556
rope tricep extension,incline triceps extension,0.8555555555555556
rope tricep extension,bent-over triceps extension,0.8793650793650793
rope tricep extension,lying triceps extension,0.8555555555555556
rope tricep extension,triceps extension_reclined,0.8555555555555556
rope tricep extension,lying triceps extension_decline triceps extension,0.8555555555555556
rope tricep extension,triceps extension,0.8555555555555556
rope tricep extension,triceps extension_reclined,0.8555555555555556
rope tricep extension,triceps extension,0.8555555555555556
rope tricep extension,suspended triceps extension,0.8555555555555556
rope tricep extension,lying triceps extension_decline,0.8555555555555556
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip_bent knees,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,standing triceps dip,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip_kneeling,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip,0.956547619047619
tricep dips,triceps dip_self-assisted,0.956547619047619
tricep dips,triceps dip_alternative machine,0.956547619047619
tricep dips,triceps dip_between benches,0.956547619047619
tricep dips,triceps dip_overhand grip,0.956547619047619
weighted bench dip,bench dip_knees bent,0.8611111111111112
three bench dip,bench dip_knees bent,0.8666666666666667
three bench dip,bench dip_heel on floor,0.9277777777777777
three bench dip,triceps dip_between benches,0.873015873015873
close grip bench press,close grip bench press_incline,1.0
close grip bench press,close grip bench press_incline,1.0
close grip bench press,close grip bench press,1.0
close grip bench press,seated close grip press,0.8666666666666667
close grip bench press,close grip bench press,1.0
close grip bench press,seated close grip press_incline bench,1.0
close grip bench press,close grip bench press,1.0
close grip bench press,close grip bench press_barbell machine,1.0
straight bar tricep extension,lying triceps extension_cable bar,0.893154761904762
straight bar tricep extension,bent-over triceps extension_cable bar,0.893154761904762
seated french press,seated close grip press,0.8592592592592593
seated french press,seated close grip press_incline bench,0.9407407407407408
reverse one-arm cable tricep extension,bent-over triceps extension_cable bar,0.8740362811791383
french press,close grip bench press_incline,0.9111111111111112
french press,close grip bench press_incline,0.9111111111111112
french press,close grip bench press,0.9111111111111112
french press,close grip bench press,0.9111111111111112
french press,seated close grip press_incline bench,0.9111111111111112
french press,close grip bench press,0.9111111111111112
french press,close grip bench press_barbell machine,0.9111111111111112
overhead banded tricep extension,overhead triceps extension,0.8748015873015873
overhead banded tricep extension,bent-over triceps extension_with rope attachment,0.8706349206349207
overhead banded tricep extension,bent-over triceps extension_cable bar,0.8845238095238095
overhead banded tricep extension,bent-over triceps extension,0.8706349206349207
decline lying dumbbell extension,lying triceps extension_decline,0.8725198412698413
decline lying dumbbell extension,lying triceps extension_decline triceps extension,0.8725198412698413
decline lying dumbbell extension,lying triceps extension_decline,0.8725198412698413
reverse grip cable tricep extension,lying triceps extension_cable bar,0.8633333333333333
reverse grip cable tricep extension,bent-over triceps extension_cable bar,0.8633333333333333
sphinx push up,close grip push-up,0.8796296296296297
sphinx push up,close grip push-up,0.8796296296296297
sphinx push up,close grip push-up_on knees,0.8796296296296297
sphinx push up,close grip push-up_decline,0.8796296296296297
sphinx push up,close grip push-up_incline on bar,0.8796296296296297
sphinx push up,close grip push-up_on medicine ball,0.8796296296296297
close grip pin press,close grip bench press_incline,0.9126984126984127
close grip pin press,close grip bench press_incline,0.9126984126984127
close grip pin press,close grip bench press,0.8819444444444444
close grip pin press,seated close grip press,0.8819444444444444
close grip pin press,close grip bench press,0.8819444444444444
close grip pin press,seated close grip press_incline bench,0.9126984126984127
close grip pin press,close grip bench press,0.8819444444444444
close grip pin press,close grip bench press_barbell machine,0.8819444444444444
lying barbell reverse extension,lying triceps extension_cable bar,0.8714285714285714
incline close grip bench press,close grip bench press_incline,1.0
incline close grip bench press,close grip bench press_incline,1.0
incline close grip bench press,close grip bench press,0.9352380952380953
incline close grip bench press,close grip bench press,0.9352380952380953
incline close grip bench press,seated close grip press_incline bench,1.0
incline close grip bench press,close grip bench press,0.9352380952380953
incline close grip bench press,close grip bench press_barbell machine,0.9428571428571428
reverse grip french press,close grip bench press_incline,0.8746031746031746
reverse grip french press,close grip bench press_incline,0.8746031746031746
reverse grip french press,close grip bench press,0.8746031746031746
reverse grip french press,close grip bench press,0.8746031746031746
reverse grip french press,seated close grip press_incline bench,0.8746031746031746
reverse grip french press,close grip bench press,0.8746031746031746
reverse grip french press,close grip bench press_barbell machine,0.8746031746031746
banded tricep extension,bent-over triceps extension_with rope attachment,0.8608465608465609
banded tricep extension,triceps extension_one arm (supinated),0.8608465608465609
banded tricep extension,triceps extension_one arm (pronated),0.8701058201058202
banded tricep extension,lying triceps extension_cable bar,0.8793650793650793
banded tricep extension,bent-over triceps extension_cable bar,0.8793650793650793
banded tricep extension,side triceps extension,0.8608465608465609
banded tricep extension,triceps extension_on other machine,0.8714285714285714
banded tricep extension,bent-over triceps extension,0.8608465608465609
banded tricep extension,suspended triceps extension,0.8639329805996473
one-arm standing overhead cable tricep extension,bent-over triceps extension_cable bar,0.8809193121693122
standing overhead ez bar tricep extension,bent-over triceps extension_cable bar,0.8504850088183421
reverse grip close grip bench press,close grip bench press_incline,0.9352380952380953
reverse grip close grip bench press,close grip bench press_incline,0.9352380952380953
reverse grip close grip bench press,close grip bench press,0.9352380952380953
reverse grip close grip bench press,close grip bench press,0.9352380952380953
reverse grip close grip bench press,seated close grip press_incline bench,0.9352380952380953
reverse grip close grip bench press,close grip bench press,0.9352380952380953
reverse grip close grip bench press,close grip bench press_barbell machine,0.9352380952380953
cable concentration tricep extension,lying triceps extension_cable bar,0.8924297924297925
cable concentration tricep extension,bent-over triceps extension_cable bar,0.8924297924297925
smith machine incline tricep extension,triceps extension_on other machine,0.8571428571428571
