muscleNstrength,exRx,result,confidence
incline bench press,Barbell Incline Bench Press,True,0.8244708994708995
incline bench press,Barbell Decline Bench Press,True,0.7411375661375661
incline bench press,Cable Bench Press,True,0.7881370091896407
incline bench press,Dumbbell Decline Bench Press,True,0.7170138888888888
incline bench press,Smith Decline Bench Press,True,0.788888888888889
incline bench press,Barbell Guillotine Bench Press,True,0.6983134920634921
incline bench press,Lever Parallel Grip Incline Bench Press,True,0.6810897435897436
incline bench press,Barbell Bench Press,True,0.7340016708437761
reverse grip bench press,Lever Bench Press,True,0.739236111111111
reverse grip bench press,Lever Parallel Grip Incline Bench Press,True,0.6954441391941392
reverse dumbbell bench press,Dumbbell Incline Bench Press,True,0.7857142857142856
reverse dumbbell bench press,Lever Bench Press,True,0.6934771825396826
reverse dumbbell bench press,Dumbbell Decline Bench Press,True,0.7857142857142856
reverse dumbbell bench press,Dumbbell Bench Press,True,0.819047619047619
reverse dumbbell bench press,Barbell Bench Press,True,0.7363343253968253
neutral grip dumbbell bench press,Dumbbell Bench Press,True,0.7376406926406927
self-assisted straight bar dip,Self-assisted Chest Dip,True,0.7463657407407407
incline dumbbell twist fly,Dumbbell Decline Fly,True,0.6876984126984127
incline dumbbell twist fly,Dumbbell Incline Fly,True,0.7154761904761906
standing cable fly,Cable Standing Fly,True,0.8240740740740741
standing cable fly,Cable Lying Fly,True,0.6405092592592592
standing cable fly,Cable Decline Fly,True,0.6487103174603174
standing cable fly,Cable Seated Fly,True,0.6527777777777778
standing cable fly,Cable Standing Incline Fly,True,0.7554029304029304
standing cable fly,Cable Incline Fly,True,0.6620039682539682
dumbbell bench press,Dumbbell Incline Bench Press,True,0.8238095238095238
dumbbell bench press,Barbell Incline Bench Press,True,0.7182787698412698
dumbbell bench press,Barbell Decline Bench Press,True,0.7182787698412698
dumbbell bench press,Dumbbell Decline Bench Press,True,0.8238095238095238
dumbbell bench press,Dumbbell Bench Press,True,1.0
dumbbell bench press,Barbell Guillotine Bench Press,True,0.6897569444444445
dumbbell bench press,Barbell Bench Press,True,0.846626984126984
alternating dumbbell fly,Dumbbell Fly,True,0.6853956228956228
reverse grip incline bench press,Lever Decline Bench Press,True,0.7494791666666667
reverse grip incline bench press,Smith Incline Bench Press,True,0.7433928571428572
reverse grip incline bench press,Cable Incline Bench Press,True,0.7476339285714285
reverse grip incline bench press,Lever Incline Bench Press,True,0.802157738095238
reverse grip incline bench press,Barbell Incline Bench Press,True,0.7717410714285714
reverse grip incline bench press,Lever Parallel Grip Incline Bench Press,True,0.8231547619047619
incline dumbbell bench press,Dumbbell Incline Bench Press,True,0.8333333333333333
incline dumbbell bench press,Cable Bar Incline Bench Press,True,0.7530791598248494
incline dumbbell bench press,Smith Incline Bench Press,True,0.7651041666666667
incline dumbbell bench press,Cable Incline Bench Press,True,0.7849702380952381
incline dumbbell bench press,Lever Incline Bench Press,True,0.7651041666666667
incline dumbbell bench press,Barbell Incline Bench Press,True,0.8058035714285714
incline dumbbell bench press,Barbell Decline Bench Press,True,0.7284226190476191
incline dumbbell bench press,Dumbbell Decline Bench Press,True,0.8095238095238095
incline dumbbell bench press,Dumbbell Bench Press,True,0.8119047619047619
incline dumbbell bench press,Barbell Guillotine Bench Press,True,0.6980654761904762
incline dumbbell bench press,Barbell Bench Press,True,0.7143105158730159
wide grip decline bench press,Barbell Decline Bench Press,True,0.7713752052545155
wide grip decline bench press,Dumbbell Decline Bench Press,True,0.7784616174055828
lying cable pullover,Cable Lying Fly,True,0.6199074074074074
knee push-up,Push-up,True,0.6875
knee push-up,Incline Push-up,True,0.7274801587301587
knee push-up,Depth Push-up,True,0.7396634615384615
knee push-up,Pike Push-up,True,0.8402777777777777
knee push-up,Push-up Plus,True,0.6770833333333334
knee push-up,Decline Push-up,True,0.7274801587301587
knee push-up,Weighted Push-up,True,0.6822916666666666
t-push up,Push-up,True,0.7152777777777778
t-push up,Push-up Plus,True,0.6354166666666667
cable inner chest press,Cable Twisting Chest Press,True,0.803926282051282
cable inner chest press,Cable Decline Chest Press,True,0.8330952380952381
cable inner chest press,Cable Standing Incline Chest Press,True,0.727531512605042
cable inner chest press,Cable One Arm Chest Press,True,0.8338888888888888
cable inner chest press,Cable Standing Chest Press,True,0.7971554487179486
cable inner chest press,Cable Incline Chest Press,True,0.8657142857142857
cable inner chest press,Cable Chest Press,True,0.8289855072463768
alternating dumbbell bench press on exercise ball,Dumbbell Bench Press,True,0.6235312306740878
floor press,Barbell Floor Press,True,0.7529657477025898
neutral grip incline dumbbell bench press,Dumbbell Incline Bench Press,True,0.7065984320557491
neutral grip incline dumbbell bench press,Barbell Incline Bench Press,True,0.6816244434765776
neutral grip incline dumbbell bench press,Dumbbell Decline Bench Press,True,0.6664319589624468
neutral grip incline dumbbell bench press,Dumbbell Bench Press,True,0.6715882694541231
neutral grip incline dumbbell bench press,Lever Parallel Grip Incline Bench Press,True,0.7618870176797006
guillotine press,Barbell Guillotine Bench Press,True,0.7003968253968254
decline dumbbell twist fly,Dumbbell Decline Fly,True,0.7282967032967034
decline dumbbell twist fly,Dumbbell Incline Fly,True,0.7005189255189255
chest dip,Chest Dip,True,1.0
chest dip,Weighted Chest Dip,True,0.7125
chest dip,Suspended Chest Dip,True,0.693632228719948
chest dip,Lever Chest Dip,True,0.7555555555555555
chest dip,Cable Chest Dip,True,0.7666666666666666
chest dip,Lever Chest Dip,True,0.7555555555555555
decline cable chest press,Cable Twisting Chest Press,True,0.7529189560439561
decline cable chest press,Cable One Arm Standing Incline Chest Press,True,0.634764739229025
decline cable chest press,Lever Decline Chest Press,True,0.8264285714285714
decline cable chest press,Cable Standing Decline Chest Press,True,0.7514950980392157
decline cable chest press,Cable Decline Chest Press,True,0.88
decline cable chest press,Cable Bar Standing Decline Chest Press,True,0.7063657407407408
decline cable chest press,Cable Standing Incline Chest Press,True,0.7080077030812325
decline cable chest press,Lever Alternating Decline Chest Press,True,0.691064116064116
decline cable chest press,Cable Bar Standing Incline Chest Press,True,0.6667876287942078
decline cable chest press,Cable One Arm Chest Press,True,0.7442063492063492
decline cable chest press,Cable Twisting Standing Chest Press,True,0.6555357142857142
decline cable chest press,Cable Standing Chest Press,True,0.7461481227106227
decline cable chest press,Cable Incline Chest Press,True,0.8061904761904762
decline cable chest press,Cable Bar Standing Chest Press,True,0.6885119047619048
decline cable chest press,Cable Chest Press,True,0.7997619047619047
dumbbell bench press rotational grip,Dumbbell Bench Press,True,0.7236111111111112
decline cable flys,Cable Lying Fly,True,0.6415343915343915
decline cable flys,Cable Decline Fly,True,0.7916666666666667
decline cable flys,Cable Standing Incline Fly,True,0.6078659188034188
decline cable flys,Cable Incline Fly,True,0.6904761904761905
smith machine bench press,Smith Bench Press,True,0.8061507936507937
smith machine bench press,Smith Incline Bench Press,True,0.9042857142857144
smith machine bench press,Smith Decline Bench Press,True,0.9042857142857144
barbell pullover,Dumbbell Pullover,True,0.8321953781512604
