workout_name,relation,exercise
conjugate-system-beginner-powerlifting-workout-phase-3_7,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-3_11,INCLUDES,barbell bench press
arnold-schwarzenegger-volume-workout-routines_0,INCLUDES,barbell bench press
arnold-schwarzenegger-volume-workout-routines_3,INCLUDES,barbell bench press
3-week-pump-tacular-pecs-workout_1,INCLUDES,barbell bench press
3-week-pump-tacular-pecs-workout_2,INCLUDES,barbell bench press
bench-most-dayz_0,INCLUDES,barbell bench press
bench-most-dayz_0,INCLUDES,barbell bench press
bench-most-dayz_1,INCLUDES,barbell bench press
bench-most-dayz_2,INCLUDES,barbell bench press
bench-most-dayz_2,INCLUDES,barbell bench press
6-week-dwayne-johnson-hercules_0,INCLUDES,barbell bench press
captain-america-winter-soldier-physique_4,INCLUDES,barbell bench press
ryan-reynolds-deadpool-inspired-workout_1,INCLUDES,barbell bench press
pain-gain-dwayne-johnson-mark-wahlberg-workout_1,INCLUDES,barbell bench press
phase-training-pt-2-size-building_0,INCLUDES,barbell bench press
phase-training-pt-1-primer-workout_0,INCLUDES,barbell bench press
phase-training-pt-1-primer-workout_2,INCLUDES,barbell bench press
george-hackenschmidt-inspired-workout_0,INCLUDES,barbell bench press
yoked-thor-training-program-diet-plan_1,INCLUDES,barbell bench press
yoked-thor-training-program-diet-plan_5,INCLUDES,barbell bench press
yoked-thor-training-program-diet-plan_7,INCLUDES,barbell bench press
hugh-jackman-workout-routine_0,INCLUDES,barbell bench press
chris-pratt-workout-program_1,INCLUDES,barbell bench press
batman-workout-routine_4,INCLUDES,barbell bench press
john-cena-workout-routine_1,INCLUDES,barbell bench press
dougs-mass-building-routine-for-ectomorphs.html_0,INCLUDES,barbell bench press
shaun--s-3-day-muscle-building-split.html_0,INCLUDES,barbell bench press
21-compound-exercises-only-workout.html_0,INCLUDES,barbell bench press
gain-mass-fast-20-week-program_0,INCLUDES,barbell bench press
gain-mass-fast-20-week-program_1,INCLUDES,barbell bench press
12-week-beginners-training-routine.html_0,INCLUDES,barbell bench press
12-week-beginners-training-routine.html_1,INCLUDES,barbell bench press
advanced-bodybuilder-workout.html_4,INCLUDES,barbell bench press
gain-mass-fast-20-week-program_5,INCLUDES,barbell bench press
dumbbell-barbell-mass-workout.html_2,INCLUDES,barbell bench press
himl-4-maximum-muscle-building-workout-system.html_0,INCLUDES,barbell bench press
himl-4-maximum-muscle-building-workout-system.html_8,INCLUDES,barbell bench press
30-day-military-athlete-workout-program_4,INCLUDES,barbell bench press
8-week-chest-back-workout-routine_0,INCLUDES,barbell bench press
5-day-push-pull-legs-workout-program-cycle_0,INCLUDES,barbell bench press
8-week-pec-pounder_2,INCLUDES,barbell bench press
8-week-pec-pounder_3,INCLUDES,barbell bench press
the-next-step-6-week-intermediate-workout-program_1,INCLUDES,barbell bench press
the-ultimate-bro-split_0,INCLUDES,barbell bench press
12-week-total-transformation-workout_0,INCLUDES,barbell bench press
thor-ragnarok-chris-hemsworth-inspired-workout_0,INCLUDES,barbell bench press
thor-ragnarok-chris-hemsworth-inspired-workout_3,INCLUDES,barbell bench press
the-best-upper-body-workout-routine_10,INCLUDES,barbell bench press
4-day-power-muscle-burn-workout-split.html_0,INCLUDES,barbell bench press
6-week-workout-program-to-build-lean-muscle_1,INCLUDES,barbell bench press
upper-lower-4-day-gym-bodybuilding-workout_0,INCLUDES,barbell bench press
4-day-maximum-mass-workout_1,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-2_3,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-2_7,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-2_9,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-2_11,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-2_15,INCLUDES,barbell bench press
10-week-mass-building-program.html_0,INCLUDES,barbell bench press
phul-workout_0,INCLUDES,barbell bench press
8-week-womens-workout-routine_1,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-1_3,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-1_7,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-1_11,INCLUDES,barbell bench press
conjugate-system-beginner-powerlifting-workout-phase-1_15,INCLUDES,barbell bench press
steves-density-and-strength-4-day-split.html_0,INCLUDES,barbell bench press
steves-density-and-strength-4-day-split.html_0,INCLUDES,barbell bench press
4-5-day-workout-for-building-muscle-and-strength_1,INCLUDES,barbell bench press
henry-cavill-workout_1,INCLUDES,barbell bench press
tactical-physique-strength-conditioning-workout_3,INCLUDES,barbell bench press
power-muscle-burn-5-day-powerbuilding-split.html_0,INCLUDES,barbell bench press
jason-blaha-ice-cream-fitness-5x5-novice-workout_0,INCLUDES,barbell bench press
8-week-beginner-workout-for-women_0,INCLUDES,barbell bench press
john-grimek-workout_0,INCLUDES,barbell bench press
12-week-military-workout-program_1,INCLUDES,barbell bench press
fight-to-be-fit-workout_1,INCLUDES,barbell bench press
marc-megna-football-training-program-meal-plan_1,INCLUDES,barbell bench press
marc-megna-football-training-program-meal-plan_5,INCLUDES,barbell bench press
marc-megna-football-training-program-meal-plan_9,INCLUDES,barbell bench press
marc-megna-football-training-program-meal-plan_13,INCLUDES,barbell bench press
vernon-davis-push-pull-superset-workout_0,INCLUDES,barbell bench press
reg-park-inspired-workout_0,INCLUDES,barbell bench press
reg-park-inspired-workout_1,INCLUDES,barbell bench press
reg-park-inspired-workout_2,INCLUDES,barbell bench press
scarlett-johansson-workout-program_2,INCLUDES,barbell bench press
steve-reeves-inspired-workout_0,INCLUDES,barbell bench press
3-day-workout-routine-and-diet-for-beginners_2,INCLUDES,barbell bench press
6-week-navy-seal-workout-routine_2,INCLUDES,barbell bench press
10-week-fat-torcher_1,INCLUDES,barbell bench press
total-package-workout_1,INCLUDES,barbell bench press
muscle-strength-full-body-workout-routine_0,INCLUDES,barbell bench press
charles-glass-beginners-essentials-bodybuilding-workout_2,INCLUDES,barbell bench press
return-to-ripped_0,INCLUDES,barbell bench press
3-day-whole-body-toning-workout.html_2,INCLUDES,barbell bench press
6-week-summer-workout-challenge_0,INCLUDES,barbell bench press
creed-workout-program_1,INCLUDES,barbell bench press
26-doug--s-6-day-cutting-routine.html_3,INCLUDES,barbell bench press
6-day-powerbuilding-split-meal-plan_0,INCLUDES,seated behind the neck shoulder press
steves-density-and-strength-4-day-split.html_2,INCLUDES,seated behind the neck shoulder press
steves-density-and-strength-4-day-split.html_2,INCLUDES,seated behind the neck shoulder press
6-day-powerbuilding-split-meal-plan_0,INCLUDES,weighted tricep dips
8-week-hypertrophy-workout_2,INCLUDES,weighted tricep dips
guns-a-blazing-workout_0,INCLUDES,weighted tricep dips
himl-4-maximum-muscle-building-workout-system.html_2,INCLUDES,weighted tricep dips
triple-header-tricep-workout_1,INCLUDES,weighted tricep dips
4-week-arm-ageddon-blast-arm-workout_3,INCLUDES,weighted tricep dips
8-week-pec-pounder_0,INCLUDES,weighted tricep dips
8-week-pec-pounder_1,INCLUDES,weighted tricep dips
8-week-pec-pounder_3,INCLUDES,weighted tricep dips
michael-b-jordan-workout-program_0,INCLUDES,weighted tricep dips
8-week-spring-shred-program_0,INCLUDES,weighted tricep dips
6-day-powerbuilding-split-meal-plan_0,INCLUDES,rope tricep extension
8-week-hypertrophy-workout_2,INCLUDES,rope tricep extension
branch-warren-olympia-workout-diet-plan_2,INCLUDES,rope tricep extension
phase-training-pt-2-size-building_0,INCLUDES,rope tricep extension
september-starter-beginner-workout_0,INCLUDES,rope tricep extension
sylvester-stallone-workout_0,INCLUDES,rope tricep extension
chris-pratt-workout-program_1,INCLUDES,rope tricep extension
john-cena-workout-routine_2,INCLUDES,rope tricep extension
shaun--s-3-day-muscle-building-split.html_2,INCLUDES,rope tricep extension
12-week-beginners-training-routine.html_0,INCLUDES,rope tricep extension
12-week-beginners-training-routine.html_1,INCLUDES,rope tricep extension
12-week-beginners-training-routine.html_2,INCLUDES,rope tricep extension
guns-a-blazing-workout_0,INCLUDES,rope tricep extension
guns-a-blazing-workout_1,INCLUDES,rope tricep extension
8-x-8-workout-lean-muscle_0,INCLUDES,rope tricep extension
triple-header-tricep-workout_0,INCLUDES,rope tricep extension
4-week-arm-ageddon-blast-arm-workout_0,INCLUDES,rope tricep extension
armergency-workout_0,INCLUDES,rope tricep extension
bigger-better-arms-workout-30-days_0,INCLUDES,rope tricep extension
the-ultimate-bro-split_4,INCLUDES,rope tricep extension
12-week-total-transformation-workout_9,INCLUDES,rope tricep extension
the-best-upper-body-workout-routine_10,INCLUDES,rope tricep extension
michael-b-jordan-workout-program_4,INCLUDES,rope tricep extension
8-week-womens-workout-routine_2,INCLUDES,rope tricep extension
henry-cavill-workout_1,INCLUDES,rope tricep extension
power-physique-8-week-program_1,INCLUDES,rope tricep extension
12-week-push-pull-legs-for-women_3,INCLUDES,rope tricep extension
2-day-intense-workout.html_1,INCLUDES,rope tricep extension
marc-megna-football-training-program-meal-plan_1,INCLUDES,rope tricep extension
full-body-shock-workout_0,INCLUDES,rope tricep extension
full-body-shock-workout_1,INCLUDES,rope tricep extension
3-day-workout-routine-and-diet-for-beginners_0,INCLUDES,rope tricep extension
10-week-fat-torcher_5,INCLUDES,rope tricep extension
best-full-body-workout-routine-for-women_3,INCLUDES,rope tricep extension
total-package-workout_1,INCLUDES,rope tricep extension
fat-loss-inferno-5-day-workout_2,INCLUDES,rope tricep extension
spring-cleaning-12-weeks-to-shredded_4,INCLUDES,rope tricep extension
12-week-womens-bikini-prep-workout_3,INCLUDES,rope tricep extension
24-doug---s-5-day-high-definition-routine.html_0,INCLUDES,rope tricep extension
creed-workout-program_1,INCLUDES,rope tricep extension
muscle-and-strength-womens-fat-loss-workout_0,INCLUDES,rope tricep extension
20-6-day-weight-cardio-cutting-workout.html_0,INCLUDES,rope tricep extension
26-doug--s-6-day-cutting-routine.html_0,INCLUDES,rope tricep extension
